"","MaxTemp","MinTemp","DegreeDay"
"1",48,"15",0
"2",49,"15",0
"3",50,"15",0
"4",51,"15",0
"5",52,"15",0
"6",53,"15",0
"7",54,"15",1
"8",55,"15",1
"9",56,"15",1
"10",57,"15",1
"11",58,"15",1
"12",59,"15",1
"13",60,"15",2
"14",61,"15",2
"15",62,"15",2
"16",63,"15",3
"17",64,"15",3
"18",65,"15",3
"19",66,"15",4
"20",67,"15",4
"21",68,"15",4
"22",69,"15",5
"23",70,"15",5
"24",71,"15",5
"25",72,"15",6
"26",73,"15",6
"27",74,"15",6
"28",75,"15",8
"29",76,"15",8
"30",77,"15",8
"31",78,"15",9
"32",79,"15",9
"33",80,"15",9
"34",81,"15",10
"35",82,"15",10
"36",83,"15",10
"37",84,"15",11
"38",85,"15",11
"39",86,"15",11
"40",87,"15",12
"41",88,"15",12
"42",89,"15",12
"43",90,"15",13
"44",91,"15",13
"45",92,"15",13
"46",93,"15",14
"47",94,"15",14
"48",95,"15",14
"49",96,"15",15
"50",97,"15",15
"51",98,"15",15
"52",99,"15",16
"53",100,"15",16
"54",101,"15",16
"55",102,"15",18
"56",103,"15",18
"57",104,"15",18
"58",105,"15",17
"59",106,"15",17
"60",107,"15",17
"61",108,"15",17
"62",109,"15",17
"63",110,"15",17
"64",111,"15",18
"65",112,"15",18
"66",113,"15",18
"67",114,"15",18
"68",115,"15",18
"69",116,"15",18
"70",48,"16",0
"71",49,"16",0
"72",50,"16",0
"73",51,"16",0
"74",52,"16",0
"75",53,"16",0
"76",54,"16",1
"77",55,"16",1
"78",56,"16",1
"79",57,"16",1
"80",58,"16",1
"81",59,"16",1
"82",60,"16",2
"83",61,"16",2
"84",62,"16",2
"85",63,"16",3
"86",64,"16",3
"87",65,"16",3
"88",66,"16",4
"89",67,"16",4
"90",68,"16",4
"91",69,"16",5
"92",70,"16",5
"93",71,"16",5
"94",72,"16",6
"95",73,"16",6
"96",74,"16",6
"97",75,"16",8
"98",76,"16",8
"99",77,"16",8
"100",78,"16",9
"101",79,"16",9
"102",80,"16",9
"103",81,"16",10
"104",82,"16",10
"105",83,"16",10
"106",84,"16",11
"107",85,"16",11
"108",86,"16",11
"109",87,"16",12
"110",88,"16",12
"111",89,"16",12
"112",90,"16",13
"113",91,"16",13
"114",92,"16",13
"115",93,"16",14
"116",94,"16",14
"117",95,"16",14
"118",96,"16",15
"119",97,"16",15
"120",98,"16",15
"121",99,"16",16
"122",100,"16",16
"123",101,"16",16
"124",102,"16",18
"125",103,"16",18
"126",104,"16",18
"127",105,"16",17
"128",106,"16",17
"129",107,"16",17
"130",108,"16",17
"131",109,"16",17
"132",110,"16",17
"133",111,"16",18
"134",112,"16",18
"135",113,"16",18
"136",114,"16",18
"137",115,"16",18
"138",116,"16",18
"139",48,"17",0
"140",49,"17",0
"141",50,"17",0
"142",51,"17",0
"143",52,"17",0
"144",53,"17",0
"145",54,"17",1
"146",55,"17",1
"147",56,"17",1
"148",57,"17",1
"149",58,"17",1
"150",59,"17",1
"151",60,"17",2
"152",61,"17",2
"153",62,"17",2
"154",63,"17",3
"155",64,"17",3
"156",65,"17",3
"157",66,"17",4
"158",67,"17",4
"159",68,"17",4
"160",69,"17",5
"161",70,"17",5
"162",71,"17",5
"163",72,"17",6
"164",73,"17",6
"165",74,"17",6
"166",75,"17",8
"167",76,"17",8
"168",77,"17",8
"169",78,"17",9
"170",79,"17",9
"171",80,"17",9
"172",81,"17",10
"173",82,"17",10
"174",83,"17",10
"175",84,"17",11
"176",85,"17",11
"177",86,"17",11
"178",87,"17",12
"179",88,"17",12
"180",89,"17",12
"181",90,"17",13
"182",91,"17",13
"183",92,"17",13
"184",93,"17",14
"185",94,"17",14
"186",95,"17",14
"187",96,"17",15
"188",97,"17",15
"189",98,"17",15
"190",99,"17",16
"191",100,"17",16
"192",101,"17",16
"193",102,"17",18
"194",103,"17",18
"195",104,"17",18
"196",105,"17",17
"197",106,"17",17
"198",107,"17",17
"199",108,"17",17
"200",109,"17",17
"201",110,"17",17
"202",111,"17",18
"203",112,"17",18
"204",113,"17",18
"205",114,"17",18
"206",115,"17",18
"207",116,"17",18
"208",48,"18",0
"209",49,"18",0
"210",50,"18",0
"211",51,"18",0
"212",52,"18",0
"213",53,"18",0
"214",54,"18",1
"215",55,"18",1
"216",56,"18",1
"217",57,"18",2
"218",58,"18",2
"219",59,"18",2
"220",60,"18",2
"221",61,"18",2
"222",62,"18",2
"223",63,"18",3
"224",64,"18",3
"225",65,"18",3
"226",66,"18",4
"227",67,"18",4
"228",68,"18",4
"229",69,"18",5
"230",70,"18",5
"231",71,"18",5
"232",72,"18",7
"233",73,"18",7
"234",74,"18",7
"235",75,"18",8
"236",76,"18",8
"237",77,"18",8
"238",78,"18",9
"239",79,"18",9
"240",80,"18",9
"241",81,"18",10
"242",82,"18",10
"243",83,"18",10
"244",84,"18",11
"245",85,"18",11
"246",86,"18",11
"247",87,"18",13
"248",88,"18",13
"249",89,"18",13
"250",90,"18",14
"251",91,"18",14
"252",92,"18",14
"253",93,"18",15
"254",94,"18",15
"255",95,"18",15
"256",96,"18",15
"257",97,"18",15
"258",98,"18",15
